视频标题,视频ID,keyword,video_href,video_list_urls,author,date
天价罚单！蚂蚁企鹅共计被罚超百亿,BV1Bz4y1E7RQ,阿里被罚,https://www.bilibili.com/video/BV1Bz4y1E7RQ/,https://search.bilibili.com/all?keyword=阿里被罚,黎明是熊猫,2023-7-8
蚂蚁被罚71亿，阿里股价大涨！,BV1ag4y1w7JL,阿里被罚,https://www.bilibili.com/video/BV1ag4y1w7JL/,https://search.bilibili.com/all?keyword=阿里被罚,运达人TransPert,2023-7-12
蚂蚁集团被罚近102亿，马云到底该不该？“相互宝”何时赔偿到位？,BV1fN411m7MF,阿里被罚,https://www.bilibili.com/video/BV1fN411m7MF/,https://search.bilibili.com/all?keyword=阿里被罚,北大盈姐,2023-7-8
阿里巴巴被罚182亿后！马云首度现身！听听他讲了什么,BV1jU4y1C7xD,阿里被罚,https://www.bilibili.com/video/BV1jU4y1C7xD/,https://search.bilibili.com/all?keyword=阿里被罚,爱看球的大晨子,2022-8-13
蚂蚁腾讯被罚背后的逻辑,BV1C14y1o7rs,阿里被罚,https://www.bilibili.com/video/BV1C14y1o7rs/,https://search.bilibili.com/all?keyword=阿里被罚,捉刀漫谈,2023-7-9
蚂蚁被罚，阿里股价却大涨，背后真相是什么？,BV1C94y1q72E,阿里被罚,https://www.bilibili.com/video/BV1C94y1q72E/,https://search.bilibili.com/all?keyword=阿里被罚,财经陈小财,2023-7-9
阿里巴巴被罚182.28亿！,BV1dV411E7Tn,阿里被罚,https://www.bilibili.com/video/BV1dV411E7Tn/,https://search.bilibili.com/all?keyword=阿里被罚,中国日报网,2021-4-10
为什么阿里被罚70个亿？#如何看待腾讯阿里被罚百亿  #商业思维 #创业,BV1aj411Z7JK,阿里被罚,https://www.bilibili.com/video/BV1aj411Z7JK/,https://search.bilibili.com/all?keyword=阿里被罚,仁哥聊软件开发,2023-7-10
阿里巴巴被罚后发公开信：处罚是对我们的警醒和鞭策,BV1gb4y1D7DN,阿里被罚,https://www.bilibili.com/video/BV1gb4y1D7DN/,https://search.bilibili.com/all?keyword=阿里被罚,新快报社,2021-4-10
蚂蚁集团被罚了几十亿，为什么阿里股票还涨了？,BV12V4y187iL,阿里被罚,https://www.bilibili.com/video/BV12V4y187iL/,https://search.bilibili.com/all?keyword=阿里被罚,锐信资本的Ray,2023-7-9
阿里被罚182亿后，马云首次现身，线上参加阿里会议,BV1ii4y1m7VM,阿里被罚,https://www.bilibili.com/video/BV1ii4y1m7VM/,https://search.bilibili.com/all?keyword=阿里被罚,蝙蝠说财经,2022-4-29
蚂蚁被罚，来谈谈平台企业机会何去何从？,BV1vz4y177bM,阿里被罚,https://www.bilibili.com/video/BV1vz4y177bM/,https://search.bilibili.com/all?keyword=阿里被罚,David谈周期,2023-7-13
蚂蚁被罚71.23亿，马云脸上笑嘻嘻，真看不懂,BV1nM4y1j7VP,阿里被罚,https://www.bilibili.com/video/BV1nM4y1j7VP/,https://search.bilibili.com/all?keyword=阿里被罚,向晓商,2023-7-8
为什么支付宝被罚70个亿？#商业思维 #如何看待腾讯阿里被罚百亿 #软件开发 #干货分享 #创业,BV178411D7oE,阿里被罚,https://www.bilibili.com/video/BV178411D7oE/,https://search.bilibili.com/all?keyword=阿里被罚,仁哥聊软件开发,2023-7-10
就在今天阿里巴巴集团因违规《反垄断法》被罚182.28亿元,BV1SX4y1g75G,阿里被罚,https://www.bilibili.com/video/BV1SX4y1g75G/,https://search.bilibili.com/all?keyword=阿里被罚,小麦聊数码,2021-4-10
阿里巴巴公司因反垄断被罚百亿补贴,BV1eh411U7qs,阿里被罚,https://www.bilibili.com/video/BV1eh411U7qs/,https://search.bilibili.com/all?keyword=阿里被罚,高育良不加糖,2021-4-10
重磅消息！蚂蚁被罚71亿元 但不见得是坏事,BV1Nm4y1E7Qn,阿里被罚,https://www.bilibili.com/video/BV1Nm4y1E7Qn/,https://search.bilibili.com/all?keyword=阿里被罚,66号阿伐,2023-7-12
同为巨头，为何阿里被罚得更狠？,BV1iZ4y1f7Ee,阿里被罚,https://www.bilibili.com/video/BV1iZ4y1f7Ee/,https://search.bilibili.com/all?keyword=阿里被罚,刘胜军大局观,2022-1-14
利空出尽就是利好！ 蚂蚁被罚，阿里暴涨,BV1tN411m7ZZ,阿里被罚,https://www.bilibili.com/video/BV1tN411m7ZZ/,https://search.bilibili.com/all?keyword=阿里被罚,讲原则的副歌,2023-7-9
阿里、美团被罚 2021反垄断罚没236亿 “二选一”基本停止,BV16U4y1i77G,阿里被罚,https://www.bilibili.com/video/BV16U4y1i77G/,https://search.bilibili.com/all?keyword=阿里被罚,奶憨日常吸收,2022-7-22
"马云被罚128亿背后,牵出密友钱峰雷，人民日报指责阿里“割韭菜”",BV1tp4y1t79n,阿里被罚,https://www.bilibili.com/video/BV1tp4y1t79n/,https://search.bilibili.com/all?keyword=阿里被罚,甜妹瓜瓜乐,2021-4-11
阿里突然被罚！请收下他们用182亿，买来的这个认知,BV1UU4y1b7vJ,阿里被罚,https://www.bilibili.com/video/BV1UU4y1b7vJ/,https://search.bilibili.com/all?keyword=阿里被罚,世维思维,2021-4-23
中国大咖马云风光不再，为什么阿里巴巴被罚182亿？垄断是根源,BV1J5411c7bH,阿里被罚,https://www.bilibili.com/video/BV1J5411c7bH/,https://search.bilibili.com/all?keyword=阿里被罚,蒋蒋是我啊,2021-4-10
从口无遮拦被约谈，到阿里巴巴被罚百亿，马云最大的错误是什么？,BV1N24y187LL,阿里被罚,https://www.bilibili.com/video/BV1N24y187LL/,https://search.bilibili.com/all?keyword=阿里被罚,名人风范说,2023-2-28
阿里垄断被罚是科技企业发展的必然趋势，权衡很难,BV1GU4y1h7yz,阿里被罚,https://www.bilibili.com/video/BV1GU4y1h7yz/,https://search.bilibili.com/all?keyword=阿里被罚,财经摩士,2021-4-12
腾讯阿里被罚上百亿,BV1Sx4y1o7jN,阿里被罚,https://www.bilibili.com/video/BV1Sx4y1o7jN/,https://search.bilibili.com/all?keyword=阿里被罚,暴雷房产,2023-7-15
阿里被罚！释放重大信号，新的时代要来了,BV1uV411h76T,阿里被罚,https://www.bilibili.com/video/BV1uV411h76T/,https://search.bilibili.com/all?keyword=阿里被罚,财经摩士,2020-12-15
阿里被罚182.28亿背后的真相？释放什么信号？,BV1WU4y1h7qq,阿里被罚,https://www.bilibili.com/video/BV1WU4y1h7qq/,https://search.bilibili.com/all?keyword=阿里被罚,至道热点,2021-4-12
最易懂解释被罚182亿企业的情况,BV1y64y1S717,阿里被罚,https://www.bilibili.com/video/BV1y64y1S717/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,大笑放映室,2021-4-14
腾讯阿里被罚上百亿,BV1rV4y187TM,阿里被罚,https://www.bilibili.com/video/BV1rV4y187TM/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,也是简佳,2023-7-8
阿里等巨头再次被罚！ 对普通百姓是好是坏？,BV1kK4y1M7LB,阿里被罚,https://www.bilibili.com/video/BV1kK4y1M7LB/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,彩贝学堂,2021-7-10
蚂蚁被罚71亿，股票大涨8%，怎么回事？,BV18P411C7LK,阿里被罚,https://www.bilibili.com/video/BV18P411C7LK/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,韩叔聊投资,2023-7-8
蚂蚁集团被罚71亿 阿里市值却一夜暴涨  你敢信？#阿里巴巴#蚂蚁集团#支付宝#财经#干货,BV1oh4y1Z7Z1,阿里被罚,https://www.bilibili.com/video/BV1oh4y1Z7Z1/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,小杜说财经509,2023-7-11
蚂蚁被罚，阿里暴涨,BV1Kj411Z7Wv,阿里被罚,https://www.bilibili.com/video/BV1Kj411Z7Wv/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,清夏初荷,2023-7-9
阿里巴巴被罚182.28亿元,BV1LX4y137ct,阿里被罚,https://www.bilibili.com/video/BV1LX4y137ct/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,小屁小光,2021-4-10
互联网22起违法经营者集中案被罚：涉案企业包括阿里、腾讯,BV15L411W7D4,阿里被罚,https://www.bilibili.com/video/BV15L411W7D4/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,新华社快看,2021-7-7
为什么阿里巴巴被罚182亿，和全球反垄断事件相比，什么水平？,BV1S5411A7y7,阿里被罚,https://www.bilibili.com/video/BV1S5411A7y7/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,歌者酷玩真号,2021-4-10
被罚182.28亿元，阿里能一下子拿出这么多钱吗？,BV1g5411c7nn,阿里被罚,https://www.bilibili.com/video/BV1g5411c7nn/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,财经知识观,2021-4-11
蚂蚁被罚71亿，靴子落地了吗？,BV1qM4y1j7zC,阿里被罚,https://www.bilibili.com/video/BV1qM4y1j7zC/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,悦涛很二,2023-7-8
重磅!阿里巴巴被罚182.28亿 。网友喊话：腾讯，你害怕吗？,BV1YK4y1m7w6,阿里被罚,https://www.bilibili.com/video/BV1YK4y1m7w6/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,编剧李太黑,2021-4-12
阿里为什么被罚182亿？,BV1Bb4y1D71A,阿里被罚,https://www.bilibili.com/video/BV1Bb4y1D71A/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,润宇创业笔记,2021-4-14
阿里巴巴集团被罚182.28亿元！高层出手力度大！新的时代要来了吗？,BV1J5411c7mE,阿里被罚,https://www.bilibili.com/video/BV1J5411c7mE/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,李荣茂,2021-4-10
蚂蚁腾讯被重罚，阿里股价暴涨,BV1cs4y1r7r2,阿里被罚,https://www.bilibili.com/video/BV1cs4y1r7r2/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,墙角阴影下的猫,2023-7-9
蚂蚁金服被罚，腾讯被罚，阿里股票大涨,BV12X4y1H7Jr,阿里被罚,https://www.bilibili.com/video/BV12X4y1H7Jr/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,经考老徐,2023-7-8
阿里巴巴被罚182亿新闻,BV1CK411F7B5,阿里被罚,https://www.bilibili.com/video/BV1CK411F7B5/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,艾星征服者_刚刚,2021-4-10
炸了！阿里垄断被罚182亿，顺丰暴雷蒸发两千多亿，国家队紧急介入，下周A股将迎来百年罕见行情！,BV1vB4y1w7qU,阿里被罚,https://www.bilibili.com/video/BV1vB4y1w7qU/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,魔法世界的大boss,2021-4-10
阿里巴巴被罚182亿，背后到底什么逻辑？,BV1Bb4y1D7Ah,阿里被罚,https://www.bilibili.com/video/BV1Bb4y1D7Ah/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,zhihuihahaha,2021-4-12
被罚182亿“六子”分家，反垄断绝不只是说说而已,BV1W24y1c7he,阿里被罚,https://www.bilibili.com/video/BV1W24y1c7he/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,张琦商业论,2023-4-19
阿里巴巴被罚180多亿，然而后面还有两个大瓜。,BV1EU4y1h7cJ,阿里被罚,https://www.bilibili.com/video/BV1EU4y1h7cJ/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,3条眉毛,2021-4-11
阿里被罚，其实早就做好布局,BV1Mq4y1E7mb,阿里被罚,https://www.bilibili.com/video/BV1Mq4y1E7mb/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,南说股权,2021-5-18
腾讯阿里被罚百亿以后，借呗花呗微粒贷会有影响吗？,BV1Uu41157xX,阿里被罚,https://www.bilibili.com/video/BV1Uu41157xX/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,加油啊一心姐,2023-7-15
阿里被罚182.28亿,BV1qh411U7q6,阿里被罚,https://www.bilibili.com/video/BV1qh411U7q6/,https://search.bilibili.com/all?keyword=阿里被罚&page=2&o=24,哥从来不拆塔,2021-4-10
蚂蚁企鹅被罚，股价逆势暴涨！,BV1YX4y1H7H1,阿里被罚,https://www.bilibili.com/video/BV1YX4y1H7H1/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,熊哥有干货,2023-7-8
阿里垄断被罚182亿，旗下控股龙头3天蒸发200亿，阿里投资控股还能持有吗？,BV1ph411U7jd,阿里被罚,https://www.bilibili.com/video/BV1ph411U7jd/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,牛股是怎么炼成的,2021-4-10
白话天下：阿里巴巴被罚182亿天价，自家的孩子为什么不护短？,BV1Sf4y1W7t6,阿里被罚,https://www.bilibili.com/video/BV1Sf4y1W7t6/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,白话频道,2021-4-11
被罚182亿，阿里巴巴的福报到了吗？【财经观察猿】,BV1ZX4y1g77e,阿里被罚,https://www.bilibili.com/video/BV1ZX4y1g77e/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,财经观察猿,2021-4-11
阿里巴巴被罚182亿的解读,BV13h411U7yo,阿里被罚,https://www.bilibili.com/video/BV13h411U7yo/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,丹牛文,2021-5-5
A股四大要闻！阿里被罚咋看？美国的来客微妙表态，让人彻夜深思,BV1mg4y1c7hJ,阿里被罚,https://www.bilibili.com/video/BV1mg4y1c7hJ/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,股市-沉默的螺旋,2023-7-10
蚂蚁被罚，阿里暴涨,BV1nP411y7pk,阿里被罚,https://www.bilibili.com/video/BV1nP411y7pk/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,窝窝小琦,2023-7-12
阿里被罚182亿元，只因“二选一”？,BV1Zb4y1D7V6,阿里被罚,https://www.bilibili.com/video/BV1Zb4y1D7V6/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,晓霞怎么看,2021-4-17
阿里被罚182亿，马化腾比马云还慌？#阿里# #腾讯# #马云# #股权设计#,BV1Jp4y1t7x8,阿里被罚,https://www.bilibili.com/video/BV1Jp4y1t7x8/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,股权激励一一李老师,2021-4-16
阿里、阅文、丰巢被罚，互联网不是反垄断法外之地,BV12z4y167he,阿里被罚,https://www.bilibili.com/video/BV12z4y167he/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,财经杂志,2020-12-14
平台“二选一”，阿里巴巴被罚182.28亿,BV1yZ4y1c7W7,阿里被罚,https://www.bilibili.com/video/BV1yZ4y1c7W7/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,财经杂志,2021-4-10
司马南：阿里被罚180亿，蚂蚁第3次被约谈，马云为啥还不露面?,BV1aZ4y1c7fV,阿里被罚,https://www.bilibili.com/video/BV1aZ4y1c7fV/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,司马南,2021-4-14
【韩秀云】阿里被罚182亿，资本收割被迫中止！为什么互联网必须反垄断？,BV1YA411V7N3,阿里被罚,https://www.bilibili.com/video/BV1YA411V7N3/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,韩秀云讲经济,2021-4-20
马云被罚182亿！官媒两度点名痛批，“乡村教师”人设彻底崩塌？,BV16p4y187y7,阿里被罚,https://www.bilibili.com/video/BV16p4y187y7/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,清蒸鲤娱,2021-4-10
阿里巴巴被罚182亿，马云3次邀约惨被拒，看来王菲才是最明智的人,BV1KK4y1o7vd,阿里被罚,https://www.bilibili.com/video/BV1KK4y1o7vd/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,动画梦工厂厂长,2021-4-11
强迫商家二选一，阿里刚被罚，又到了美团。,BV1FA41157Ja,阿里被罚,https://www.bilibili.com/video/BV1FA41157Ja/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,Alice-学姐,2021-4-27
【吐槽拼多多】阿里巴巴被罚182亿，拼多多仍然变本加厉，顶风作案，你说应该罚多少？,BV1C64y1S7jz,阿里被罚,https://www.bilibili.com/video/BV1C64y1S7jz/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,NIP战术大湿,2021-4-10
蚂蚁被罚，阿里暴涨,BV1Hm4y1n7H6,阿里被罚,https://www.bilibili.com/video/BV1Hm4y1n7H6/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,sunriches,2023-7-9
阿里被罚182亿后，马云“首次现身”，看他说了什么,BV1TV4y177xy,阿里被罚,https://www.bilibili.com/video/BV1TV4y177xy/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,白三朵吖,2022-8-6
蚂蚁集团被罚71.23亿元，阿里股票却大涨7%！,BV1aF411X7tx,阿里被罚,https://www.bilibili.com/video/BV1aF411X7tx/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,CEO环球财经,2023-7-8
阿里被罚182亿,BV1YB4y1w7hZ,阿里被罚,https://www.bilibili.com/video/BV1YB4y1w7hZ/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,大林评论,2021-4-10
阿里被罚180亿，背后传递的声音是什么？关于你们的未来哦,BV1WK4y1o7wr,阿里被罚,https://www.bilibili.com/video/BV1WK4y1o7wr/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,聊东聊西小财经,2021-4-10
告诉你，为什么支付宝财付通被罚约30亿？,BV1rN411m7dF,阿里被罚,https://www.bilibili.com/video/BV1rN411m7dF/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,AI看法,2023-7-8
腾讯阿里被罚超百亿,BV1oV411K7eS,阿里被罚,https://www.bilibili.com/video/BV1oV411K7eS/,https://search.bilibili.com/all?keyword=阿里被罚&page=3&o=48,经典国学更新中,2023-7-8
阿里被罚182.28亿，影响到底有多大？,BV1SB4y1w7QZ,阿里被罚,https://www.bilibili.com/video/BV1SB4y1w7QZ/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,财经陈小财,2021-4-11
腾讯控股、阿里巴巴，哔哩哔哩等多家公司被罚,BV19R4y1u7NR,阿里被罚,https://www.bilibili.com/video/BV19R4y1u7NR/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,京非财税法律服务机构,2022-1-5
薇娅逃税被罚：与阿里、联想有关联么？,BV1Tm4y197s8,阿里被罚,https://www.bilibili.com/video/BV1Tm4y197s8/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,长老观点,2021-12-22
阿里巴巴被罚182亿，反垄断为什么突然“流行”起来？,BV19K411M718,阿里被罚,https://www.bilibili.com/video/BV19K411M718/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,中金财富,2021-1-11
超级重磅！阿里腾讯金融业务被罚超百亿,BV1Ck4y1K7hs,阿里被罚,https://www.bilibili.com/video/BV1Ck4y1K7hs/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,飞瞰财金,2023-7-7
从阿里被罚50万说起，看懂“反垄断”背后的这盘中国经济大棋,BV19z4y167VP,阿里被罚,https://www.bilibili.com/video/BV19z4y167VP/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,见闻研究所,2020-12-15
阿里真的被罚了百亿，我的神预测,BV1y64y1v7fy,阿里被罚,https://www.bilibili.com/video/BV1y64y1v7fy/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,王世方律师,2021-4-10
老外围观阿里巴巴被罚182亿，他们如何评价,BV1ph411U7TX,阿里被罚,https://www.bilibili.com/video/BV1ph411U7TX/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,植楠澳夫,2021-4-12
作为卖家，如何看待阿里被罚，是好事吗？,BV1CK411F7sa,阿里被罚,https://www.bilibili.com/video/BV1CK411F7sa/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,大麦说电商,2021-4-10
马云被中央罚了！！阿里巴巴罚款182亿，原因是只是因为这个,BV1Pf4y1W7xV,阿里被罚,https://www.bilibili.com/video/BV1Pf4y1W7xV/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,考试优题宝,2021-5-7
A股四大要闻！阿里被罚咋看？美国的来客微妙表态，让人彻夜深思,BV1kW4y1f7fm,阿里被罚,https://www.bilibili.com/video/BV1kW4y1f7fm/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,股市-沉默的螺旋,2023-7-10
美团被罚是利好？为什么和阿里被罚不一样？,BV1HQ4y1X7JF,阿里被罚,https://www.bilibili.com/video/BV1HQ4y1X7JF/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,闭眼Kan世界呀,2021-10-9
阿里做“出头鸟”被罚182亿：中国绝不允许出现俄式寡头！,BV1Gd4y1b7FA,阿里被罚,https://www.bilibili.com/video/BV1Gd4y1b7FA/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,凤舞九天LCF,2022-11-11
大而不倒、富可敌国、被罚182亿：反垄断风声又起，阿里真正的原罪是什么？【宏观瞭望站07】,BV1eK4y1o7H4,阿里被罚,https://www.bilibili.com/video/BV1eK4y1o7H4/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,京鱼财经,2021-4-22
反垄断:阿里，腾讯，美团，滴滴全部被罚！,BV1to4y1X7XA,阿里被罚,https://www.bilibili.com/video/BV1to4y1X7XA/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,兔子罗杰75,2021-7-8
阿里、腾讯，双马被罚，市场的谨慎与观望,BV1MV4y1h74f,阿里被罚,https://www.bilibili.com/video/BV1MV4y1h74f/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,罗某人罗,2023-7-9
阿里、阅文、蜂巢为啥被罚50万,BV19a4y1H7hj,阿里被罚,https://www.bilibili.com/video/BV19a4y1H7hj/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,野马财经,2020-12-15
反垄断，砍培训，阿里被罚！国家重拳出击背后，是关乎每个人的大变革！,BV1x44y1k7fA,阿里被罚,https://www.bilibili.com/video/BV1x44y1k7fA/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,陈平侃商业,2021-8-21
阿里被罚天价，腾讯并购被叫停，反垄断的“手术刀”太精准！ #虎牙与斗鱼合并被禁止 #反垄断 #事前监管,BV1hf4y1L7ot,阿里被罚,https://www.bilibili.com/video/BV1hf4y1L7ot/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,一觉醒来世界发生什么,2021-7-10
二选一！阿里巴巴集团被罚182.28亿元，阿里回应被罚：坚决服从,BV1gf4y1s7sU,阿里被罚,https://www.bilibili.com/video/BV1gf4y1s7sU/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,老板联播,2021-4-10
淘宝对实业的破坏有多大，商家90%的利润都被抽走，阿里被罚183亿背后意味什么,BV1zY411D7TY,阿里被罚,https://www.bilibili.com/video/BV1zY411D7TY/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,知识-影视杂谈,2023-2-8
腾讯、阿里再被罚，恒大、联想继续“比烂”！这些企业巨头为何危机频频？,BV1KS4y1T76u,阿里被罚,https://www.bilibili.com/video/BV1KS4y1T76u/,https://search.bilibili.com/all?keyword=阿里被罚&page=4&o=72,美美的财经,2022-1-5
靴子落地！被罚71亿，阿里美股为何不降反升？,BV1o94y1q7kW,阿里被罚,https://www.bilibili.com/video/BV1o94y1q7kW/,https://search.bilibili.com/all?keyword=阿里被罚&page=5&o=96,硅谷南瓜说,2023-7-10
蚂蚁被罚70亿开启互联网的春天，但是想上市还是再等等吧。,BV188411D75k,阿里被罚,https://www.bilibili.com/video/BV188411D75k/,https://search.bilibili.com/all?keyword=阿里被罚&page=5&o=96,卫哥聊公司,2023-7-10
阿里被罚182亿，这只是反垄断的起点,BV1p64y1m7Xq,阿里被罚,https://www.bilibili.com/video/BV1p64y1m7Xq/,https://search.bilibili.com/all?keyword=阿里被罚&page=5&o=96,珍大户,2021-4-10
阿里做“出头鸟”被罚182亿：中国绝不允许出现俄式寡头！,BV1B5411Z74r,阿里被罚,https://www.bilibili.com/video/BV1B5411Z74r/,https://search.bilibili.com/all?keyword=阿里被罚&page=5&o=96,账号已注销,2022-1-30
